id,title,price
1,Wine - Rosso Toscano Igt,20.0
2,Crab - Imitation Flakes,8.3
3,Chicken - Livers,11.0
4,Bread - Dark Rye,9.5
5,Mustard Prepared,16.4
6,Vector Energy Bar,12.4
7,Truffle Cups - Brown,15.2
8,Wine - Barossa Valley Estate,8.3
9,Alize Sunset,16.2
10,Table Cloth 120 Round White,8.4
11,Chutney Sauce - Mango,2.4
12,Wine - Champagne Brut Veuve,2.0
13,Wine - Toasted Head,6.8
14,Chicken Breast Wing On,15.4
15,Bread - Burger,3.1
16,Bacardi Breezer - Strawberry,14.9
17,Cookie - Oatmeal,4.9
18,"Tart Shells - Sweet, 3",18.9
19,Sponge Cake Mix - Chocolate,15.6
20,Energy Drink - Franks Pineapple,6.3
